gene,pLI,oe_lof_upper,mis_z,oe_lof_upper_bin,obs_hom_lof
KDM3B,1.00E+00,6.00E-02,4.98E+00,0,0
TRRAP,1.00E+00,6.00E-02,8.17E+00,0,0
GRIN2B,1.00E+00,6.10E-02,5.42E+00,0,0
USP7,1.00E+00,6.10E-02,5.65E+00,0,0
ATP1A3,1.00E+00,6.20E-02,6.33E+00,0,0
ASH1L,1.00E+00,6.20E-02,3.47E+00,0,0
ANKRD17,1.00E+00,6.20E-02,5.36E+00,0,0
SMC1A,1.00E+00,6.20E-02,6.45E+00,0,0
NPEPPS,1.00E+00,6.20E-02,3.98E+00,0,0
CHERP,1.00E+00,6.20E-02,4.25E+00,0,0
MED13L,1.00E+00,6.40E-02,3.69E+00,0,0
RPRD2,1.00E+00,6.40E-02,2.12E+00,0,0
KMT2A,1.00E+00,6.50E-02,6.23E+00,0,0
CREBBP,1.00E+00,6.60E-02,3.90E+00,0,0
SF3B1,1.00E+00,6.60E-02,7.70E+00,0,0
EIF3B,1.00E+00,6.70E-02,1.82E+00,0,0
PPFIA1,1.00E+00,6.70E-02,1.06E+00,0,0
ZSWIM6,1.00E+00,6.70E-02,4.18E+00,0,0
PRPF3,1.00E+00,6.80E-02,3.85E+00,0,0
KAT6A,1.00E+00,6.90E-02,2.07E+00,0,0
KMT2B,1.00E+00,7.00E-02,3.43E+00,0,0
SIN3A,1.00E+00,7.00E-02,4.39E+00,0,0
CHD2,1.00E+00,7.00E-02,5.21E+00,0,0
ARID1A,1.00E+00,7.10E-02,3.66E+00,0,0
GLTSCR1L,1.00E+00,7.10E-02,1.97E+00,0,0
SCN1A,1.00E+00,7.10E-02,5.22E+00,0,0
MED12,1.00E+00,7.10E-02,6.58E+00,0,1
TJP1,1.00E+00,7.10E-02,1.54E+00,0,0
SPEN,1.00E+00,7.10E-02,2.89E+00,0,0
WDFY3,1.00E+00,7.10E-02,5.82E+00,0,0
HDAC6,1.00E+00,7.20E-02,3.29E+00,0,0
EHMT1,1.00E+00,7.20E-02,1.16E+00,0,0
JMJD1C,1.00E+00,7.20E-02,1.51E+00,0,0
MAP3K12,1.00E+00,7.20E-02,2.99E+00,0,0
GGNBP2,1.00E+00,7.30E-02,3.26E+00,0,0
CASK,1.00E+00,7.30E-02,4.25E+00,0,0
TLE3,1.00E+00,7.30E-02,3.72E+00,0,0
CHD6,1.00E+00,7.30E-02,4.00E+00,0,0
UBR5,1.00E+00,7.30E-02,6.21E+00,0,0
EIF4G1,1.00E+00,7.40E-02,2.22E+00,0,0
NBEA,1.00E+00,7.40E-02,5.51E+00,0,0
SMARCA5,1.00E+00,7.40E-02,5.42E+00,0,0
TSC2,1.00E+00,7.40E-02,-3.30E-01,0,7
SUPT5H,1.00E+00,7.40E-02,4.56E+00,0,0
GREB1L,1.00E+00,7.50E-02,5.37E+00,0,0
PTCH1,1.00E+00,7.50E-02,1.68E+00,0,0
CHD7,1.00E+00,7.60E-02,3.22E+00,0,0
RAD54L2,1.00E+00,7.60E-02,3.13E+00,0,0
CNOT3,1.00E+00,7.60E-02,3.76E+00,0,0
AHDC1,1.00E+00,7.60E-02,2.86E+00,0,0
U2SURP,1.00E+00,7.70E-02,4.09E+00,0,0
RBM25,1.00E+00,7.70E-02,4.31E+00,0,0
GIGYF2,1.00E+00,7.70E-02,2.24E+00,0,334
MBTD1,1.00E+00,7.70E-02,3.45E+00,0,0
DCAF5,1.00E+00,7.80E-02,2.88E+00,0,0
SUV420H1,1.00E+00,7.80E-02,2.79E+00,0,0
RABGAP1,1.00E+00,7.80E-02,2.96E+00,0,0
KHSRP,1.00E+00,7.80E-02,3.83E+00,0,0
TM9SF2,1.00E+00,7.90E-02,3.27E+00,0,0
MATR3,1.00E+00,7.90E-02,2.73E+00,0,0
PHF21A,1.00E+00,8.00E-02,2.86E+00,0,0
NAV1,1.00E+00,8.00E-02,4.15E+00,0,0
HIVEP2,1.00E+00,8.00E-02,1.83E+00,0,0
OGT,1.00E+00,8.00E-02,5.67E+00,0,0
RBBP6,1.00E+00,8.00E-02,1.49E+00,0,0
GTPBP4,1.00E+00,8.00E-02,7.79E-02,0,0
MYBL1,1.00E+00,8.00E-02,2.13E+00,0,0
TEX11,1.00E+00,8.00E-02,1.81E+00,0,0
DYNC1H1,1.00E+00,8.00E-02,1.10E+01,0,0
SBNO1,1.00E+00,8.10E-02,3.36E+00,0,0
THOC2,1.00E+00,8.10E-02,5.53E+00,0,0
PRKCB,1.00E+00,8.10E-02,3.99E+00,0,0
INO80,1.00E+00,8.10E-02,3.53E+00,0,0
TAF4,1.00E+00,8.10E-02,2.68E+00,0,0
FLNA,1.00E+00,8.20E-02,3.78E+00,0,1
TRIM28,1.00E+00,8.20E-02,2.33E+00,0,0
CHD8,1.00E+00,8.20E-02,5.95E+00,0,0
RBM33,1.00E+00,8.20E-02,1.80E+00,0,0
SNRNP200,1.00E+00,8.20E-02,5.94E+00,0,0
XPO6,1.00E+00,8.20E-02,3.48E+00,0,0
SMARCAD1,1.00E+00,8.30E-02,3.49E+00,0,0
FRMPD4,1.00E+00,8.30E-02,1.95E+00,0,0
MACF1,1.00E+00,8.40E-02,3.43E+00,0,0
WAC,1.00E+00,8.40E-02,1.51E+00,0,0
BRWD3,1.00E+00,8.40E-02,4.27E+00,0,0
C17orf104,1.00E+00,8.40E-02,1.83E+00,0,0
ATP2B1,1.00E+00,8.40E-02,5.29E+00,0,0
EIF4G2,1.00E+00,8.50E-02,2.98E+00,0,0
ZNF462,1.00E+00,8.50E-02,3.35E+00,0,0
WDR26,1.00E+00,8.50E-02,3.58E+00,0,0
CUL4B,1.00E+00,8.50E-02,3.77E+00,0,0
TRIM33,1.00E+00,8.60E-02,4.49E+00,0,0
STXBP1,1.00E+00,8.60E-02,4.26E+00,0,0
TOPBP1,1.00E+00,8.60E-02,1.97E+00,0,0
NF2,1.00E+00,8.60E-02,2.29E+00,0,0
TET3,1.00E+00,8.60E-02,2.88E+00,0,0
MN1,1.00E+00,8.70E-02,2.16E+00,0,0
SUPT6H,1.00E+00,8.70E-02,5.14E+00,0,0
RP11-762I7.5,1.00E+00,8.70E-02,2.27E+00,0,0
NHS,1.00E+00,8.70E-02,1.82E+00,0,1
RPS6KA3,1.00E+00,8.70E-02,4.52E+00,0,0
MYT1L,1.00E+00,8.70E-02,4.77E+00,0,0
UBP1,1.00E+00,8.80E-02,2.99E+00,0,0
PLCL2,1.00E+00,8.80E-02,3.33E+00,0,0
SPTBN1,1.00E+00,8.80E-02,4.54E+00,0,0
MYH9,1.00E+00,8.80E-02,3.47E+00,0,0
ZDHHC5,1.00E+00,8.80E-02,1.85E+00,0,0
LUC7L3,1.00E+00,8.90E-02,2.58E+00,0,0
COPB2,1.00E+00,8.90E-02,2.56E+00,0,0
DNAJC14,1.00E+00,8.90E-02,1.57E+00,0,0
RNF17,1.00E+00,8.90E-02,1.77E+00,0,84
ANK3,1.00E+00,8.90E-02,2.79E+00,0,0
F8,1.00E+00,8.90E-02,2.47E+00,0,1
TM9SF3,1.00E+00,9.00E-02,3.51E+00,0,0
DLG3,1.00E+00,9.00E-02,2.88E+00,0,0
MGA,1.00E+00,9.00E-02,1.10E+00,0,0
ANKRD52,1.00E+00,9.00E-02,4.49E+00,0,0
STAG2,1.00E+00,9.00E-02,4.94E+00,0,0
SATB2,1.00E+00,9.10E-02,4.05E+00,0,0
USP34,1.00E+00,9.10E-02,2.34E+00,0,0
MAP3K2,1.00E+00,9.10E-02,2.31E+00,0,0
PREX1,1.00E+00,9.10E-02,3.70E+00,0,0
MED14,1.00E+00,9.20E-02,4.13E+00,0,0
CYFIP2,1.00E+00,9.20E-02,6.01E+00,0,0
ZNF407,1.00E+00,9.20E-02,8.59E-01,0,0
KPNB1,1.00E+00,9.20E-02,5.93E+00,0,0
ETV5,1.00E+00,9.20E-02,1.99E+00,0,0
CUL2,1.00E+00,9.30E-02,3.25E+00,0,0
HNRNPM,1.00E+00,9.30E-02,2.74E+00,0,0
PIAS1,1.00E+00,9.40E-02,2.72E+00,0,0
DAAM2,1.00E+00,9.40E-02,1.27E+00,0,0
EFTUD2,1.00E+00,9.40E-02,4.03E+00,0,0
YTHDC1,1.00E+00,9.40E-02,2.48E+00,0,0
NCBP1,1.00E+00,9.40E-02,3.52E+00,0,0
TCF20,1.00E+00,9.50E-02,8.95E-02,0,0
DLL1,1.00E+00,9.50E-02,1.82E+00,0,0
UBR4,1.00E+00,9.50E-02,5.68E+00,0,0
STAT3,1.00E+00,9.50E-02,4.99E+00,0,0
IGF2BP3,1.00E+00,9.50E-02,2.12E+00,0,0
NSD1,1.00E+00,9.50E-02,3.41E+00,0,0
SRCAP,1.00E+00,9.60E-02,2.13E+00,0,0
ZNF777,1.00E+00,9.60E-02,3.09E+00,0,0
HNRNPK,1.00E+00,9.60E-02,3.99E+00,0,0
SCAF8,1.00E+00,9.60E-02,1.90E+00,0,0
ARID2,1.00E+00,9.60E-02,2.73E+00,0,0
CCT3,1.00E+00,9.70E-02,1.16E+00,0,0
COL5A2,1.00E+00,9.70E-02,2.44E+00,0,0
PHC3,1.00E+00,9.70E-02,1.72E+00,0,0
GATAD2B,1.00E+00,9.70E-02,3.16E+00,0,0
FBXO11,1.00E+00,9.70E-02,4.38E+00,0,0
NOTCH1,1.00E+00,9.70E-02,3.45E+00,0,0
COL3A1,1.00E+00,9.80E-02,4.09E+00,0,0
PPP3CB,1.00E+00,9.80E-02,3.79E+00,0,0
ILF3,1.00E+00,9.80E-02,2.70E+00,0,0
PLEKHA5,1.00E+00,9.80E-02,1.24E+00,0,0
ZNF521,1.00E+00,9.80E-02,2.45E+00,0,0
TAB2,1.00E+00,9.80E-02,1.61E+00,0,0
CTNND2,1.00E+00,9.80E-02,2.77E+00,0,0
DDX5,1.00E+00,9.80E-02,2.76E+00,0,0
ACTN4,1.00E+00,9.90E-02,4.16E+00,0,0
UPF2,1.00E+00,9.90E-02,3.19E+00,0,0
CARM1,1.00E+00,9.90E-02,4.25E+00,0,0
PAXIP1,1.00E+00,9.90E-02,3.28E+00,0,0
BPTF,1.00E+00,9.90E-02,3.71E+00,0,0
EP300,1.00E+00,9.90E-02,2.03E+00,0,0
FBXL19,1.00E+00,1.00E-01,3.87E+00,0,0
CREBRF,1.00E+00,1.00E-01,2.36E+00,0,0
HDAC2,1.00E+00,1.00E-01,4.05E+00,0,0
SP1,1.00E+00,1.00E-01,1.14E+00,0,0
MAPK8IP2,1.00E+00,1.00E-01,2.56E+00,0,0
AP2A1,1.00E+00,1.01E-01,4.40E+00,0,0
ARCN1,1.00E+00,1.01E-01,2.08E+00,0,0
SPTAN1,1.00E+00,1.01E-01,5.52E+00,0,0
RPTOR,1.00E+00,1.01E-01,4.94E+00,0,0
CAND1,1.00E+00,1.01E-01,4.16E+00,0,0
COPS2,1.00E+00,1.01E-01,4.13E+00,0,0
SALL4,1.00E+00,1.01E-01,1.08E+00,0,0
CACNA1C,1.00E+00,1.02E-01,6.47E+00,0,0
ARID1B,1.00E+00,1.02E-01,2.59E+00,0,0
PSMD2,1.00E+00,1.02E-01,3.09E+00,0,0
PSMD3,1.00E+00,1.02E-01,2.28E+00,0,0
KMT2D,1.00E+00,1.03E-01,3.73E+00,0,0
UBAP2L,1.00E+00,1.03E-01,3.34E+00,0,0
ZNF148,1.00E+00,1.03E-01,3.52E+00,0,0
BTK,1.00E+00,1.03E-01,4.04E+00,0,0
RRM1,1.00E+00,1.03E-01,3.99E+00,0,0
PPP2R5E,1.00E+00,1.03E-01,3.83E+00,0,0
RFX3,1.00E+00,1.04E-01,3.47E+00,0,0
BIRC6,1.00E+00,1.04E-01,3.21E+00,0,0
LMNB2,1.00E+00,1.04E-01,6.59E-01,0,0
CLTC,1.00E+00,1.04E-01,7.76E+00,0,0
COPA,1.00E+00,1.05E-01,3.56E+00,0,0
COL1A1,1.00E+00,1.05E-01,3.53E+00,0,0
DHX15,1.00E+00,1.05E-01,5.63E+00,0,0
DHX9,1.00E+00,1.05E-01,5.84E+00,0,0
MAP2,1.00E+00,1.05E-01,8.84E-01,0,0
ZMYM3,1.00E+00,1.06E-01,4.31E+00,0,1
AGO2,1.00E+00,1.06E-01,6.06E+00,0,0
ANK2,1.00E+00,1.06E-01,1.96E+00,0,0
RALGAPB,1.00E+00,1.06E-01,3.18E+00,0,0
IPO7,1.00E+00,1.06E-01,3.53E+00,0,0
PRPF19,1.00E+00,1.06E-01,3.74E+00,0,0
SCAF4,1.00E+00,1.06E-01,1.94E+00,0,0
TBL1XR1,1.00E+00,1.06E-01,4.20E+00,0,0
ZCCHC11,1.00E+00,1.07E-01,2.76E+00,0,0
ZCCHC6,1.00E+00,1.07E-01,2.73E+00,0,0
ANKRD11,1.00E+00,1.07E-01,-5.54E-01,0,0
PAFAH1B1,1.00E+00,1.07E-01,3.53E+00,0,0
ZEB2,1.00E+00,1.07E-01,3.94E+00,0,0
AP2A2,1.00E+00,1.08E-01,3.13E+00,0,0
SMU1,1.00E+00,1.08E-01,4.31E+00,0,0
NAA25,1.00E+00,1.08E-01,3.45E+00,0,0
UBA1,1.00E+00,1.08E-01,3.48E+00,0,1
BAZ1B,1.00E+00,1.09E-01,3.72E+00,0,0
HNRNPH1,1.00E+00,1.09E-01,4.09E+00,0,0
VPRBP,1.00E+00,1.09E-01,4.84E+00,0,0
CTIF,1.00E+00,1.09E-01,1.49E+00,0,0
ABCB7,1.00E+00,1.09E-01,2.90E+00,0,702
UTP15,1.00E+00,1.10E-01,1.44E+00,0,0
SETBP1,1.00E+00,1.10E-01,1.10E+00,0,0
ARID5B,1.00E+00,1.10E-01,2.60E+00,0,0
RBM10,1.00E+00,1.10E-01,4.46E+00,0,0
TPR,1.00E+00,1.11E-01,2.99E+00,0,0
RCOR1,1.00E+00,1.11E-01,1.87E+00,0,0
SUFU,1.00E+00,1.11E-01,1.93E+00,0,0
TRPS1,1.00E+00,1.11E-01,1.54E+00,0,0
MTA1,1.00E+00,1.11E-01,3.50E+00,0,0
RUVBL2,1.00E+00,1.11E-01,3.11E+00,0,0
EIF4G3,1.00E+00,1.12E-01,2.97E+00,0,0
MDM4,1.00E+00,1.12E-01,1.71E+00,0,0
NTRK2,1.00E+00,1.12E-01,3.73E+00,0,0
ANKHD1,1.00E+00,1.12E-01,4.47E+00,0,1
ANKHD1-EIF4EBP3,1.00E+00,1.12E-01,4.47E+00,0,1
RORB,1.00E+00,1.12E-01,3.08E+00,0,0
TIAL1,1.00E+00,1.12E-01,3.58E+00,0,0
NRXN3,1.00E+00,1.12E-01,3.44E+00,0,0
PTPRD,1.00E+00,1.12E-01,2.73E-01,0,0
WAPAL,1.00E+00,1.12E-01,3.46E+00,0,0
RBM26,1.00E+00,1.12E-01,2.53E+00,0,0
RIF1,1.00E+00,1.13E-01,-4.14E-01,0,0
NLK,1.00E+00,1.13E-01,3.57E+00,0,0
PHIP,1.00E+00,1.13E-01,5.14E+00,0,0
LPHN2,1.00E+00,1.13E-01,1.22E+00,0,0
DPYSL5,1.00E+00,1.13E-01,3.08E+00,0,0
USP8,1.00E+00,1.13E-01,1.87E+00,0,0
TIPARP,1.00E+00,1.13E-01,1.73E+00,0,0
ZBTB4,1.00E+00,1.13E-01,1.93E+00,0,0
ISY1,1.00E+00,1.14E-01,1.24E+00,0,0
HNRNPU,1.00E+00,1.14E-01,3.37E+00,0,0
TLK2,1.00E+00,1.14E-01,4.49E+00,0,0
TRERF1,1.00E+00,1.14E-01,2.26E+00,0,0
DHX30,1.00E+00,1.15E-01,5.30E+00,0,0
MYCBP2,1.00E+00,1.15E-01,6.05E+00,0,0
FUBP1,1.00E+00,1.15E-01,2.97E+00,0,0
TRIM24,1.00E+00,1.15E-01,3.43E+00,0,0
ZC3H7A,1.00E+00,1.15E-01,1.75E+00,0,0
UBXN7,1.00E+00,1.16E-01,3.18E+00,0,0
SLC17A7,1.00E+00,1.16E-01,3.49E+00,0,0
NOTCH2,1.00E+00,1.16E-01,3.50E+00,0,0
SMARCC1,1.00E+00,1.16E-01,2.45E+00,0,0
RAI1,1.00E+00,1.16E-01,1.12E+00,0,0
CSE1L,1.00E+00,1.17E-01,2.85E+00,0,0
EIF4A1,1.00E+00,1.17E-01,3.93E+00,0,0
PIK3CA,1.00E+00,1.17E-01,5.60E+00,0,0
KIF5C,1.00E+00,1.17E-01,4.05E+00,0,0
REV3L,1.00E+00,1.17E-01,2.47E+00,0,0
AGPS,1.00E+00,1.17E-01,3.23E+00,0,0
ADAM10,1.00E+00,1.17E-01,3.31E+00,0,0
MED1,1.00E+00,1.17E-01,2.14E+00,0,0
SMARCC2,1.00E+00,1.17E-01,3.91E+00,0,0
MYRF,1.00E+00,1.17E-01,3.29E+00,0,0
DOT1L,1.00E+00,1.18E-01,2.72E+00,0,0
CHAF1A,1.00E+00,1.18E-01,1.85E+00,0,0
PSMD1,1.00E+00,1.18E-01,3.70E+00,0,0
SRRM2,1.00E+00,1.18E-01,-6.28E+00,0,0
PIAS4,1.00E+00,1.18E-01,2.63E+00,0,0
ACTR3,1.00E+00,1.18E-01,3.61E+00,0,0
DDX3X,1.00E+00,1.18E-01,4.33E+00,0,0
TSC1,1.00E+00,1.18E-01,2.32E+00,0,0
SON,1.00E+00,1.18E-01,1.54E+00,0,0
WHSC1,1.00E+00,1.19E-01,3.90E+00,0,0
TCEB3,1.00E+00,1.19E-01,1.79E+00,0,0
STAG1,1.00E+00,1.19E-01,4.44E+00,0,0
ATRX,1.00E+00,1.19E-01,3.10E+00,0,0
VCPIP1,1.00E+00,1.19E-01,3.56E+00,0,0
EIF4A3,1.00E+00,1.19E-01,4.02E+00,0,0
MAU2,1.00E+00,1.19E-01,4.03E+00,0,0
PSMC2,1.00E+00,1.19E-01,3.62E+00,0,0
DAZAP1,1.00E+00,1.19E-01,3.37E+00,0,0
POGZ,1.00E+00,1.19E-01,3.51E+00,0,0
PRKAR1A,1.00E+00,1.19E-01,3.12E+00,0,0
SF3A3,1.00E+00,1.19E-01,3.62E+00,0,0
FXR1,1.00E+00,1.19E-01,3.20E+00,0,0
CDC42BPB,1.00E+00,1.20E-01,3.66E+00,0,0
XPO7,1.00E+00,1.20E-01,4.82E+00,0,0
RARB,1.00E+00,1.20E-01,2.87E+00,0,0
RERE,1.00E+00,1.20E-01,2.03E+00,0,0
ZMYND11,1.00E+00,1.20E-01,3.71E+00,0,0
RPL4,1.00E+00,1.20E-01,1.27E+00,0,0
SUPT16H,1.00E+00,1.20E-01,5.10E+00,0,0
ZBTB47,1.00E+00,1.20E-01,2.45E+00,0,0
PRRC2C,1.00E+00,1.21E-01,2.49E+00,0,0
PPFIA3,1.00E+00,1.21E-01,5.49E+00,0,0
ATP1A1,1.00E+00,1.21E-01,6.22E+00,0,0
KIF11,1.00E+00,1.21E-01,3.27E+00,0,0
NCOA2,1.00E+00,1.21E-01,2.29E+00,0,0
HIPK1,1.00E+00,1.21E-01,2.48E+00,0,0
KIAA0430,1.00E+00,1.21E-01,2.73E+00,0,0
ARMCX4,1.00E+00,1.22E-01,2.64E+00,0,0
KMT2C,1.00E+00,1.22E-01,2.14E+00,0,0
PIK3AP1,1.00E+00,1.22E-01,2.26E+00,0,0
SEMA4C,1.00E+00,1.22E-01,2.39E+00,0,815
CYTH1,1.00E+00,1.22E-01,2.44E+00,0,0
RBM17,1.00E+00,1.22E-01,3.10E+00,0,0
RTF1,1.00E+00,1.22E-01,4.59E+00,0,0
IPO5,1.00E+00,1.22E-01,3.36E+00,0,0
NUP98,1.00E+00,1.22E-01,1.41E+00,0,0
TRAF2,1.00E+00,1.23E-01,1.56E+00,0,0
EIF4B,1.00E+00,1.23E-01,2.15E+00,0,0
ADNP,1.00E+00,1.23E-01,2.07E+00,0,0
RET,1.00E+00,1.23E-01,9.55E-01,0,0
TEAD1,1.00E+00,1.23E-01,1.66E+00,0,0
CCDC22,1.00E+00,1.23E-01,1.29E+00,0,0
SHANK3,1.00E+00,1.23E-01,3.74E+00,0,0
CACNA1E,1.00E+00,1.24E-01,5.81E+00,0,0
PRMT5,1.00E+00,1.24E-01,3.03E+00,0,0
JADE3,1.00E+00,1.24E-01,1.90E+00,0,0
WDR5,1.00E+00,1.24E-01,3.39E+00,0,0
CUL4A,1.00E+00,1.24E-01,2.81E+00,0,0
PCLO,1.00E+00,1.24E-01,-1.46E+00,0,0
ZNF219,1.00E+00,1.24E-01,2.92E+00,0,0
GAPVD1,1.00E+00,1.25E-01,2.59E+00,0,0
EPC1,1.00E+00,1.25E-01,2.67E+00,0,0
KCNB1,1.00E+00,1.25E-01,4.27E+00,0,0
NLGN2,1.00E+00,1.26E-01,4.47E+00,0,0
PCDH19,1.00E+00,1.26E-01,2.59E+00,0,1
DDX17,1.00E+00,1.26E-01,3.87E+00,0,0
RB1,1.00E+00,1.26E-01,2.67E+00,0,0
WNK1,1.00E+00,1.26E-01,2.16E+00,0,0
ZC3H18,1.00E+00,1.26E-01,5.80E-01,0,0
CDK12,1.00E+00,1.26E-01,2.52E+00,0,0
HECTD4,1.00E+00,1.27E-01,6.94E+00,0,0
RALGPS1,1.00E+00,1.27E-01,3.09E+00,0,0
TNRC6C,1.00E+00,1.27E-01,1.65E+00,0,0
SCN2A,1.00E+00,1.27E-01,6.46E+00,0,0
SOBP,1.00E+00,1.27E-01,1.92E+00,0,0
VCP,1.00E+00,1.27E-01,5.41E+00,0,0
TLN1,1.00E+00,1.28E-01,4.67E+00,0,0
BTAF1,1.00E+00,1.28E-01,4.38E+00,0,0
EPHA7,1.00E+00,1.28E-01,2.39E+00,0,0
COL4A1,1.00E+00,1.28E-01,3.02E+00,0,0
SIK3,1.00E+00,1.28E-01,2.83E+00,0,0
KAT6B,1.00E+00,1.28E-01,2.89E+00,0,0
KAT7,1.00E+00,1.28E-01,4.28E+00,0,0
ZFR,1.00E+00,1.28E-01,4.09E+00,0,0
GSE1,1.00E+00,1.28E-01,-3.31E+00,0,2
GSK3A,1.00E+00,1.28E-01,3.22E+00,0,0
L1CAM,1.00E+00,1.29E-01,2.84E+00,0,1
CTNNB1,1.00E+00,1.29E-01,3.85E+00,0,0
PBRM1,1.00E+00,1.29E-01,3.84E+00,0,0
PRICKLE1,1.00E+00,1.29E-01,1.83E+00,0,0
PUM1,1.00E+00,1.29E-01,4.42E+00,0,0
AHCTF1,1.00E+00,1.29E-01,-3.81E-01,0,0
TNPO2,1.00E+00,1.29E-01,5.88E+00,0,0
AAK1,1.00E+00,1.29E-01,2.61E+00,0,0
RASA1,1.00E+00,1.29E-01,3.10E+00,0,0
CDC5L,1.00E+00,1.29E-01,2.78E+00,0,0
FERMT2,1.00E+00,1.30E-01,1.96E+00,0,0
WTAP,1.00E+00,1.30E-01,2.27E+00,0,0
UBR3,1.00E+00,1.30E-01,4.43E+00,0,0
SCN8A,1.00E+00,1.30E-01,7.64E+00,0,0
FNIP2,1.00E+00,1.30E-01,1.28E+00,0,0
MSN,1.00E+00,1.30E-01,2.93E+00,0,0
PPP1R12A,1.00E+00,1.30E-01,2.64E+00,0,0
RANBP9,1.00E+00,1.30E-01,1.49E+00,0,0
USP47,1.00E+00,1.30E-01,2.44E+00,0,0
CCDC88A,1.00E+00,1.30E-01,2.35E+00,0,0
MLLT3,1.00E+00,1.31E-01,1.90E+00,0,0
EIF3A,1.00E+00,1.31E-01,3.04E+00,0,0
YTHDC2,1.00E+00,1.31E-01,3.25E-01,0,0
KSR2,1.00E+00,1.31E-01,3.34E+00,0,0
ZMYND8,1.00E+00,1.31E-01,4.04E+00,0,0
CCNA2,1.00E+00,1.32E-01,2.22E+00,0,0
PTPN6,1.00E+00,1.32E-01,2.87E+00,0,0
SCML2,1.00E+00,1.32E-01,2.40E+00,0,0
SNRK,1.00E+00,1.32E-01,3.47E+00,0,0
MINK1,1.00E+00,1.32E-01,4.08E+00,0,0
IRF6,1.00E+00,1.32E-01,2.74E+00,0,0
ZRSR2,1.00E+00,1.32E-01,1.46E+00,0,0
RFX7,1.00E+00,1.32E-01,1.60E+00,0,0
CSTF2,1.00E+00,1.33E-01,3.43E+00,0,1
NR4A2,1.00E+00,1.33E-01,2.24E+00,0,0
TULP4,1.00E+00,1.33E-01,1.37E+00,0,0
MAP1B,1.00E+00,1.33E-01,2.51E+00,0,0
USP42,1.00E+00,1.33E-01,-1.63E+00,0,0
ZNF592,1.00E+00,1.33E-01,8.04E-01,0,0
NPAS2,1.00E+00,1.33E-01,2.50E+00,0,0
ZSWIM8,1.00E+00,1.33E-01,5.14E+00,0,0
IQSEC2,1.00E+00,1.33E-01,5.19E+00,0,0
U2AF2,1.00E+00,1.33E-01,4.71E+00,0,0
ITPR1,1.00E+00,1.34E-01,5.60E+00,0,0
COL2A1,1.00E+00,1.34E-01,3.29E+00,0,0
NPLOC4,1.00E+00,1.34E-01,3.20E+00,0,0
MAPKAPK2,1.00E+00,1.34E-01,3.05E+00,0,0
DDX42,1.00E+00,1.34E-01,3.29E+00,0,0
CACNA1A,1.00E+00,1.34E-01,5.78E+00,0,0
SUZ12,1.00E+00,1.34E-01,3.40E+00,0,0
PHF12,1.00E+00,1.35E-01,2.43E+00,0,0
DACH1,1.00E+00,1.35E-01,2.19E+00,0,0
PORCN,1.00E+00,1.35E-01,2.37E+00,0,0
CTR9,1.00E+00,1.35E-01,4.30E+00,0,0
RBM5,1.00E+00,1.35E-01,4.17E+00,0,0
NRBP1,1.00E+00,1.35E-01,3.43E+00,0,0
TBX5,1.00E+00,1.35E-01,1.19E+00,0,0
FRMD4A,1.00E+00,1.35E-01,2.46E+00,0,0
