Gene,IGM-Roche-Avg%GeneCov,0.1%RVIS[EVS],0.1%RVIS%[EVS],EdgeCase[EVS],OEratio%tile[EVS],GenicConstraint[EVS],1.0%ncRVIS[IGM],1.0%ncRVIS%tile[IGM],ncGERP,ncGERP%tile,pcGERP,pcGERP%tile,0.05%_anypopn_RVIS[ExAC],0.05%_anypopn_RVIS%tile[ExAC],OEratio%tile[ExAC],GenicConstraint_mis-z[ExAC],GenicConstraint_mis-z%tile[ExAC],LoF-FDRLoF[EVS],LoF-pLI[ExAC],LoF-pRec[ExAC],LoF-pNull[ExAC]
UBE2J2,0.939208,-0.41,26.23260203,Y,5.956396049,29.1,NA,NA,-0.151670481,56.23999587,3.010046612,37.46767241,-0.406034518,25.93819649,17.70464602,2.199514862,18.38683128,0.3280145,0.415938847,0.575988648,0.008072506
ACAP3,0.654453,-0.35,29.48808681,N,23.34377258,38.75,NA,NA,0.245250523,38.67403315,1.975496194,67.93642241,-0.749376982,14.05337028,20.48672566,1.796594051,24.15912209,0.008849882,0.03943093,0.960288966,0.000280104
PUSL1,0.582186,NA,NA,NA,NA,85.56,NA,NA,-1.548696472,98.82790313,0.887384184,85.56034483,0.351699689,71.79085597,53.00884956,-0.635316998,79.38545953,NA,6.59E-12,0.004687471,0.995312529
CPSF3L,0.948808,-1.82,2.164425572,N,15.02047699,43.81,-0.079545164,52.00761297,-0.864323199,89.50276243,3.125837767,33.49676724,-1.203961754,6.517679658,13.97123894,1.070880616,37.19615912,0.8758965,5.79E-09,0.846463748,0.153536247
DVL1,0.807295,-1.17,6.062750649,N,39.22548783,55.77,0.025587174,58.17779961,-0.604953192,80.11049724,2.140610924,63.9762931,-0.531325214,20.4927414,32.34513274,-1.00885471,86.22770919,0.01244843,0.157164972,0.842152651,0.000682378
MXRA8,0.589514,NA,NA,NA,NA,13.76,0.411741156,76.99533399,-0.322992447,65.7097124,1.480912905,77.77478448,-0.202191696,36.75682188,22.73230088,2.108723264,19.69272977,NA,0.004712972,0.965656663,0.029630365
AURKAIP1,1,-0.07,48.34866714,N,89.17128403,86.72,-0.079415825,52.01989194,-1.48101539,98.52326122,1.280396242,80.98060345,0.369040313,72.61008373,37.29535398,0.657050504,46.37037037,0.5913013,0.002475388,0.544889583,0.452635029
MRPL20,0.999525,0.13,62.7388535,Y,52.76439412,41.62,NA,NA,-0.897157578,90.45283214,2.140598712,63.98168103,-0.203595404,36.63032347,65.1880531,-0.78217617,82.44170096,0.6277011,0.000171803,0.691280354,0.308547843
VWA1,0.552929,NA,NA,NA,NA,63.86,-0.618436243,19.65250491,-0.906479199,90.69034956,1.46542063,78.02262931,0.317801809,70.13432926,79.96128319,1.009046182,38.46364883,NA,0.03319976,0.820841673,0.145958567
ATAD3B,0.97891,2.17,98.0301958,N,60.73837629,70.79,0.289765464,72.21881139,-0.625970122,81.02442299,0.968582084,84.64978448,2.490540243,99.11451117,75.76880531,1.002949843,38.5733882,0.1069822,1.92E-13,0.056353554,0.943646446
ATAD3A,0.986474,0.12,62.20806794,N,34.25680559,60.21,0.464065103,78.80034381,-1.061686167,94.20147674,1.966599071,68.16810345,1.057439959,91.83784109,59.07079646,2.324489365,16.77914952,0.03518486,0.040130598,0.959596763,0.000272639
SSU72,0.998278,-0.14,42.87567823,Y,0.168634064,11.77,NA,NA,-0.891275363,90.2824392,2.939120496,39.73599138,-0.202032699,36.79898801,1.067477876,2.914877785,10.33744856,0.4591699,0.606848849,0.384485577,0.008665574
SLC35E2,0.999762,NA,NA,NA,NA,19.9,NA,NA,-0.34850353,67.10899985,0.776538141,86.68642241,0.47527016,77.18209746,84.93362832,3.235955562,7.75308642,NA,0.374305908,0.578735512,0.04695858
GNB1,0.999809,-0.32,31.45789101,Y,0.596241869,4.08,-0.88427641,10.98354617,1.620686846,10.8741674,3.540154863,19.20258621,-0.401504674,26.1731221,0.309734513,4.775297754,1.574759945,0.2833664,0.995187833,0.004811678,4.89E-07
TMEM52,0.733717,0.1,61.49445624,Y,27.28860516,86.44,NA,NA,-0.374238165,68.65286312,0.673876643,87.78017241,0.225335233,65.07439311,49.78982301,-0.100098919,65.87654321,0.2616649,0.328693114,0.6075943,0.063712586
GABRD,0.944641,-0.51,21.65015334,N,3.980968441,9.1,NA,NA,-0.614708568,80.55455156,2.237116272,61.72952586,-0.52053282,20.87223661,5.470132743,3.148481355,8.373113855,0.09285858,0.923498878,0.076408513,9.26E-05
PRKCZ,0.957912,-0.98,8.852323661,N,11.099735,23.39,NA,NA,0.342176433,35.42107709,2.7705878,45.27478448,-1.057112445,8.246491175,12.74336283,2.868338483,10.79286694,0.3377143,0.266923657,0.732849005,0.000227338
C1orf86,0.878948,0.37,75.12384996,N,78.64370031,92.09,NA,NA,-1.376918894,97.92946765,-0.09857449,94.47198276,0.381850187,73.19438588,51.94690265,0.467362635,50.96296296,0.4787178,0.785170903,0.208190039,0.006639058
SKI,0.915894,NA,NA,NA,NA,19.38,NA,NA,0.510121529,30.77399701,2.421082405,56.61637931,-1.173026365,6.758628998,10.23230088,2.96334091,9.871056241,NA,0.9814021,0.018584501,1.34E-05
MORN1,0.935358,-0.08,47.15145081,N,61.58756926,98.22,NA,NA,0.263218015,38.00278825,0.457142219,89.83836207,1.539860388,96.4399735,94.95575221,-1.987642432,95.84636488,0.1540539,7.88E-07,0.728750568,0.271248644
PEX10,0.889693,-0.27,34.81953291,N,57.12478921,89.21,-0.227765789,41.3617387,-1.252868731,96.86063923,1.539152657,76.67564655,0.757984566,86.30203,71.74225664,-0.545955856,77.48696845,0.3938654,0.010463632,0.945302378,0.04423399
PANK4,0.997315,-0.97,8.946685539,N,46.35629969,21.32,NA,NA,-0.293055359,64.04192699,2.87926558,41.82112069,-1.399718661,4.535871333,12.02986726,3.379605355,6.842249657,0.06157435,0.945333402,0.05466627,3.28E-07
FAM213B,0.55288,-0.01,53.19061099,Y,98.86774271,90.33,-0.796102604,13.30427308,-1.043225296,93.78323953,1.524694545,76.97737069,NA,NA,30.30973451,1.127337924,35.95610425,NA,0.0001667,0.447562931,0.55227037
ACTRT2,1,0.49,79.46449634,N,47.75355336,39.48,-0.192148975,43.6947446,-1.437424698,98.24443641,1.72264174,73.22198276,-0.022406856,48.75609903,84.34181416,-0.322195812,72.05486968,0.4179214,0.018722461,0.730881456,0.250396084
ARHGEF16,0.991708,0.25,69.56829441,N,72.41026259,72.2,NA,NA,-0.885423866,90.11720969,1.779114995,72.06896552,0.70674532,85.10330703,65.58075221,0.519481682,49.77777778,0.3095618,9.37E-08,0.510068048,0.489931858
TPRG1L,0.660101,-0.12,44.89266336,Y,32.72103108,40.34,0.358952129,75.04911591,-0.613670175,80.48226364,2.590154136,51.26077586,-0.286382847,31.95590627,34.90597345,0.495366745,50.32098765,0.9445036,0.002845285,0.803826308,0.193328407
WRAP73,0.99832,-0.64,16.6784619,N,69.63382318,80.13,-0.367231965,32.53929273,-1.145245227,95.53880312,2.233410622,61.82112069,-0.093948537,43.78049515,39.13716814,0.280416881,55.70919067,0.2834958,0.02692199,0.970620428,0.002457581
TP73,0.871268,-1.73,2.441613588,N,9.238737654,21.54,1.362094569,93.81139489,-0.926940335,91.24799917,2.508477054,53.80387931,-1.476420359,4.072043853,23.92699115,1.871487785,22.92455418,0.05793028,0.975977778,0.024021188,1.03E-06
CCDC27,0.999811,2.63,98.79688606,N,84.0580583,59.71,0.101798493,62.8990668,-0.302825277,64.58408633,-0.240732895,95.7112069,1.467525132,96.08457322,69.80641593,-0.333064868,72.35665295,0.5448655,1.61E-19,0.000771688,0.999228312
LRRC47,0.861287,-0.91,10.03184713,N,31.38400385,68.14,0.947336633,89.32956778,-0.467202011,73.58909485,1.867508298,70.23168103,-0.413690036,25.50448768,35.76880531,2.178125815,18.65569273,0.03069911,0.603832188,0.394290079,0.001877733
DFFB,0.999014,-0.07,48.34866714,N,33.81112985,23.3,0.517225945,80.46414538,-0.643250107,81.71115816,1.634971072,74.88146552,0.156757745,61.23727486,59.81747788,0.43273805,51.77503429,0.6483899,5.09E-05,0.668989031,0.330960107
C1orf174,0.978472,1.06,91.58410002,N,96.04914478,93.94,0.409027484,76.90938114,-0.573019231,78.76800744,0.064457219,92.99568966,0.941695767,90.00662611,93.04756637,-0.124684469,66.61179698,0.5314128,0.018742502,0.897770945,0.083486552
AJAP1,0.8188,0.42,77.06416608,N,19.68200434,14.47,3.636829432,99.24484283,-0.823971183,88.19641658,2.321065446,59.48275862,0.48259553,77.51942654,56.28318584,1.499091429,29.06995885,0.180914,0.977592767,0.022386032,2.12E-05
KCNAB2,0.980504,-0.43,25.36565228,N,2.403035413,11.01,-0.338829461,34.30746562,-0.695726218,83.7352197,3.666348293,15.3987069,-0.472265029,22.86006867,2.726769912,3.017258016,9.360768176,0.2640525,0.839972632,0.159897641,0.000129726
CHD5,0.989844,-3.07,0.489502241,N,5.817875211,0.43,2.048906762,97.1021611,-0.467777754,73.60974854,2.920951468,40.44181034,-2.785580439,0.825251491,7.157079646,6.14206494,0.384087791,1.28E-05,0.999999995,4.88E-09,1.01E-23
RPL22,1,0.01,54.62962963,Y,1.270778126,28.19,-1.041404297,7.901522593,-0.145951833,55.97149791,3.14207072,32.84482759,0.029773849,52.47876634,2.140486726,2.467158396,15.01234568,0.6305226,0.348492156,0.595685116,0.055822728
RNF207,0.897382,0.91,89.54352442,N,94.96506866,90.01,-0.143755238,47.4459725,-0.520531382,76.25342077,2.232135454,61.84267241,1.39534688,95.5062948,93.2909292,0.050128931,61.83264746,0.2165039,5.19E-06,0.964183419,0.035811391
ICMT,0.772571,0.3,72.009908,Y,11.85256565,27.83,-0.773487494,14.01031434,-0.366371839,68.24495275,3.306196114,27.08512931,0.086160928,56.35805072,3.904867257,2.532687639,14.26611797,0.2601756,0.959145428,0.040760771,9.38E-05
GPR153,0.657163,NA,NA,NA,NA,62.57,-0.584042493,21.26105108,-0.152837733,56.28130325,2.479458649,54.88685345,0.250007175,66.42370942,91.22234513,0.967026072,39.2702332,NA,0.000377954,0.621011134,0.378610912
ACOT7,0.897271,-0.76,13.44656759,N,14.46037099,10.75,0.283891849,72.03462672,-0.751728033,85.81091547,2.281813424,60.5387931,-0.969788141,9.457261611,10.24336283,2.692706876,12.44993141,0.5334679,0.381517902,0.616301742,0.002180357
ESPN,0.65817,NA,NA,NA,NA,44.36,NA,NA,0.30637877,36.50023235,2.480152438,54.85452586,-0.060833893,46.11168002,98.25221239,-0.169310972,68.03292181,NA,0.002553841,0.982377837,0.015068321
TNFRSF25,0.979555,0.35,74.49280491,N,44.76632137,31.61,NA,NA,-0.633080733,81.30324779,1.552074958,76.44935345,-0.048645144,46.82850431,42.66039823,1.524800469,28.6090535,0.4561695,0.448738853,0.54995246,0.001308687
PLEKHG5,0.865464,1.15,92.3920736,N,58.38352204,39.98,NA,NA,-0.38007964,68.96266846,2.440489157,56.03448276,0.901392735,89.25365942,41.39933628,0.986904352,38.84773663,0.1668122,4.03E-05,0.999542448,0.00041727
NOL9,0.906558,-0.69,15.20405756,N,66.96579138,73.05,2.924078152,98.71070727,-0.566543809,78.52016316,1.106829082,83.27586207,-0.241400552,34.61237275,25.27654867,1.821517701,23.68175583,0.06130352,0.00447024,0.994124917,0.001404843
TAS1R1,0.99981,3.52,99.46921444,N,86.25632378,70.96,0.104227351,63.07711198,-0.05036969,50.89069035,1.671087282,74.15409483,1.331930027,95.00632492,69.06526549,0.022071508,62.5733882,0.3681367,7.91E-09,0.269820279,0.730179713
ZBTB48,0.987374,-1,8.47487615,N,22.67525897,24.65,0.487483287,79.543222,-0.678224316,83.02783085,3.122080304,33.60991379,-1.683435972,2.975724354,20.07743363,1.641727751,26.64471879,0.2906038,0.680198376,0.319762726,3.89E-05
PHF13,0.956474,-0.43,25.36565228,N,13.75572151,35.61,-0.60075913,20.50589391,0.633487495,27.50555068,3.190103079,31.14224138,-0.52271897,20.80597554,5.193584071,2.111162212,19.62688615,0.1964962,0.931111283,0.068541581,0.000347136
THAP3,0.918964,1.02,90.86459071,N,90.76728499,50.3,-0.052287896,53.58546169,-0.672733928,82.86260133,1.113112395,83.20043103,0.46760378,76.88693452,29.51327434,0.80387343,42.94650206,0.6978489,0.001484225,0.675884849,0.322630926
DNAJC11,0.999026,-0.16,42.16206653,N,12.48494339,18.93,0.745403043,85.97740668,-0.478268863,74.2241958,3.500835264,20.46336207,-0.768901508,13.55942413,13.30199115,1.996922456,21.15775034,0.01412825,0.99997079,2.92E-05,1.93E-12
VAMP3,0.997601,-0.08,47.78839349,Y,62.81016623,69.75,-0.083761777,51.69449902,0.280347115,37.45030206,3.219102167,30.04310345,-0.156890075,39.47352569,23.73893805,0.157964784,58.99039781,0.6751748,0.054263067,0.864052437,0.081684495
PER3,0.999736,1.35,94.35598018,N,55.60105999,63.38,-0.648350524,18.30181729,-0.99401102,92.85382351,0.481369156,89.59051724,0.289371139,68.66453828,67.15707965,-1.097078064,87.80246914,0.111958,2.19E-10,0.99157171,0.008428289
UTS2,1,1.15,92.42745931,N,37.12960732,64.78,0.084061401,61.85535363,-0.749675968,85.71281045,0.424087942,90.12931034,0.795020581,87.16342389,87.36725664,0.152224213,59.11659808,0.711629,0.151041459,0.777233582,0.071724959
TNFRSF9,0.999717,0.22,68.12927577,N,72.84389304,67.57,-0.271164663,38.51301572,-0.598833243,79.81618217,0.54017902,89.00862069,0.331394072,70.79091621,65.33185841,-0.46061782,75.52812071,0.689423,0.253050501,0.740795163,0.006154336
PARK7,1,0.08,60.09082331,Y,73.72319923,88.53,0.086498911,61.95358546,-1.289032893,97.22207879,2.767419327,45.40409483,0.130520552,59.56870068,49.08185841,-0.186053424,68.5048011,0.8107968,0.903949397,0.095243379,0.000807223
ERRFI1,1,0.35,74.49280491,N,45.92869188,52.83,0.149967529,65.61272102,0.730693512,25.09423246,1.512974375,77.18211207,-0.623628092,17.54111198,46.22787611,0.071316852,61.24554184,0.3377143,0.046551582,0.928881632,0.024566785
RERE,0.756156,-2.63,0.784383109,N,14.1411708,3.84,-0.582825345,21.29788802,1.213601166,16.16151185,3.349952345,25.57112069,-2.692017503,0.885488826,14.8340708,3.572708222,5.59122085,0.000218648,0.999995655,4.34E-06,1.54E-16
ENO1,1,-0.18,40.15687662,N,73.12695736,28.44,-0.884492147,10.9651277,-0.692939744,83.65776837,3.323684581,26.54633621,-0.59879134,18.45069574,57.12942478,0.807999598,42.84773663,0.1203255,0.010373413,0.979738802,0.009887785
SLC2A7,0.999901,1.69,96.42014626,N,79.31221392,60,-0.167927867,45.57956778,-0.446619274,72.53059328,1.253054319,81.37392241,0.899350482,89.22956448,62.22345133,-0.750867109,81.82167353,0.767433,2.99E-17,0.000633282,0.999366718
SLC2A5,0.983213,-0.2,39.17197452,N,45.8383522,36.01,2.420783762,98.02922397,-0.28667558,63.65983374,1.317457811,80.50107759,0.517894048,79.00728872,81.27212389,1.264425144,33.26200274,0.6024904,5.68E-05,0.886434588,0.113508639
GPR157,0.987838,-0.27,34.70747818,N,63.21970609,69.85,3.574124153,99.22642436,-0.584456806,79.25853256,2.123892813,64.36422414,0.272659895,67.68869345,97.76548673,0.548821196,48.97668038,0.144158,2.63E-05,0.317175265,0.682798386
H6PD,0.997897,-0.89,10.18518519,N,74.33750903,99.11,3.251437769,98.98084479,-0.913003943,90.86590592,2.509981401,53.75538793,2.030365183,98.30130715,72.22345133,-0.729460394,81.39368999,0.01086225,0.000111404,0.948978715,0.05090988
SPSB1,0.982916,-0.16,41.6430762,Y,3.378703927,11.49,0.616254099,83.04273084,-0.16396766,56.92156762,3.522809398,19.70905172,-0.666428769,16.35443648,3.036504425,3.017307176,9.355281207,0.3217615,0.709596082,0.287008098,0.003395819
SLC25A33,0.978347,-0.18,39.95046001,Y,47.13924356,52.75,-0.889744515,10.83619843,-0.00899062,48.6807456,3.301127344,27.2737069,0.026645178,52.22576953,22.9369469,1.185932044,34.781893,0.18545,0.451158319,0.542629964,0.006211717
PIK3CD,0.983645,-1.66,2.724699222,N,8.238978559,2.28,-0.320651401,35.49852652,-0.302512706,64.56859607,3.293913031,27.53771552,-1.792662593,2.548039275,4.137168142,5.610522559,0.614540466,0.006414289,0.999984295,1.57E-05,8.63E-14
CLSTN1,0.967402,-1.05,7.60202878,N,42.66441821,36.25,NA,NA,-0.495484106,75.02452626,2.732233322,46.60021552,-1.521163557,3.806999578,37.2289823,1.125769296,35.98902606,0.006573291,0.84421445,0.155785347,2.03E-07
CTNNBIP1,0.992544,0.37,74.95281906,Y,34.73259456,54.48,0.09554998,62.49386051,0.389060467,34.03727991,3.841596899,10.7112069,0.103500998,57.58086862,58.89380531,0.439075684,51.59396433,0.7183852,0.02298674,0.767158228,0.209855032
LZIC,1,-0.05,49.38664779,Y,95.1035895,66.43,-0.062410648,53.02676817,0.272216945,37.78076109,4.01773464,7.203663793,0.02446117,52.07517619,78.44579646,0.291213805,55.44581619,0.6461829,0.001979247,0.735667359,0.262353393
NMNAT1,1,0.15,64.31941496,Y,85.55769694,59.06,-0.243500858,40.26890963,-0.253271111,61.98688491,1.936784463,68.69612069,-0.159234776,39.29883742,65.77433628,-0.931919084,85.14128944,0.4949845,0.225291939,0.738984468,0.035723594
RBP7,0.951152,0.19,66.57230479,Y,98.21729704,64.7,-0.305748384,36.37033399,-0.940269677,91.60427531,2.19928266,62.60237069,0.280322155,68.10433106,25.99557522,0.340282444,54.08504801,0.7935675,0.408810206,0.553992825,0.037196969
UBE4B,0.997699,-1.39,4.305260675,N,31.29366418,7.43,-0.783174869,13.69720039,2.001752618,7.208137554,3.614833668,16.88038793,-1.147752388,7.005602072,19.84513274,3.779914969,4.477366255,0.08363655,0.999987414,1.26E-05,4.17E-16
KIF1B,0.999801,-1.45,3.927813163,N,42.51987473,3.78,-0.363252079,32.71733792,0.376870118,34.37290236,3.786797233,12.12284483,-2.703038252,0.873441359,19.21460177,4.041123412,3.390946502,3.66E-06,1,4.11E-11,1.80E-29
PGD,0.99881,-0.67,15.76433121,N,30.96241869,41.36,-0.354744706,33.26989194,-0.784909867,86.9726855,2.673825891,48.57219828,-0.842631907,11.90892115,26.03429204,1.09211721,36.75171468,0.05400623,0.968660462,0.031337542,2.00E-06
APITD1-CORT,0.918328,-0.16,41.24793583,Y,40.92989641,32.45,0.161606759,66.0793222,-0.367695262,68.32240409,1.821145631,71.20689655,-0.310437986,30.79934944,89.13163717,-1.152509702,88.62002743,NA,0.008520901,0.797466432,0.194012667
APITD1,0.909594,0.21,67.71644256,Y,73.78944833,61.7,0.161606759,66.0793222,-0.367695262,68.32240409,2.00704897,67.19827586,0.041018741,53.26787543,89.13163717,-1.152509702,88.62002743,NA,0.008520901,0.797466432,0.194012667
CORT,0.992167,-0.14,42.87567823,Y,41.00216815,45.06,-0.342385473,34.07416503,-0.311565771,64.9919967,0.862327301,85.77586207,-0.066605292,45.75627974,95.71349558,-0.868611167,84.03292181,NA,0.009837791,0.600032444,0.390129765
DFFA,1,0.51,80.10143902,N,91.8754517,43.02,-1.849014246,1.381385069,-0.005984972,48.51551608,1.67217069,74.1325431,0.186124399,62.97813385,92.70464602,0.543982567,49.09190672,0.9436677,0.000218371,0.740902212,0.258879418
CASZ1,0.924702,-2.42,1.055673508,N,35.50951578,6.47,-1.104991539,6.93762279,1.283326865,15.14431765,3.012854866,37.33836207,-0.622956691,17.55315945,55.22676991,4.043177174,3.385459534,0.001495354,0.999938476,6.15E-05,4.86E-13
TARDBP,1,-0.38,27.41802312,Y,4.625391472,13.52,-0.680117676,16.95726916,3.245377787,1.259875045,3.7277923,13.65301724,-0.413532501,25.52255888,0.790929204,4.328992866,2.534979424,0.2218615,0.980707837,0.0192775,1.47E-05
MASP2,0.988916,0.94,89.89148384,N,69.81450253,92.52,0.023739373,58.04273084,-0.581253494,79.10879331,1.704834715,73.53987069,1.116021647,92.59080778,82.9369469,-1.675737973,94.01371742,0.8182119,1.58E-14,0.00685742,0.99314258
SRM,0.82343,-0.38,27.41802312,Y,6.655022886,15.55,NA,NA,1.088951907,18.19073682,2.780669819,44.95689655,-0.273574099,32.70887296,2.931415929,3.2955629,7.341563786,0.2884196,0.869848472,0.129784742,0.000366786
EXOSC10,0.999963,-1.24,5.490681765,N,21.66947723,27.87,0.239658464,69.97789784,0.075601429,44.81334228,2.767129278,45.40948276,0.008199729,50.91861936,42.57190265,0.527856247,49.54183813,0.07842799,1.66E-07,0.999923522,7.63E-05
MTOR,0.999309,-3.49,0.342061807,N,7.118766562,0.19,-0.131629395,48.29936149,1.053536591,18.8568183,3.944983672,8.599137931,-5.063294418,0.090356003,4.878318584,7.891558899,0.065843621,5.23E-07,1,3.24E-13,2.27E-37
ANGPTL7,0.999993,0.17,65.75843359,N,81.90797398,46.16,0.138288623,65.10314342,0.220028073,39.42789281,3.265724512,28.59375,0.102555163,57.47846515,58.07522124,-0.473837605,75.85733882,NA,8.44E-09,0.08290774,0.917092251
UBIAD1,1,-0.12,45.12856806,N,50.16261142,43.15,-0.332608312,34.71881139,-0.375221147,68.7406413,3.094312683,34.56357759,-0.436181884,24.49250045,12.34513274,1.654691201,26.46364883,0.6780158,0.568905634,0.419348701,0.011745664
FBXO2,0.89849,NA,NA,NA,NA,68.93,NA,NA,-0.147115727,56.02313213,2.737015855,46.4762931,0.007121518,50.85838203,94.94469027,0.869061374,41.3223594,NA,0.273382986,0.702682642,0.023934372
FBXO44,0.999292,0.22,68.38287332,N,66.11057576,91.8,-0.322868162,35.31434185,-0.472632658,73.90406361,3.328231585,26.40625,0.726434352,85.59122944,75.03871681,0.875357732,41.15775034,0.08387622,3.60E-05,0.593385345,0.406578697
FBXO6,1,0.35,74.49280491,N,34.22066972,55.19,0.100003393,62.77013752,-0.293333371,64.06258068,1.647008473,74.64439655,0.317801809,70.13432926,91.36615044,-0.400311329,74.02469136,0.5079725,0.000485731,0.875989884,0.123524385
MAD2L2,0.984241,0.06,58.26256192,Y,7.257287401,17.75,NA,NA,0.076970429,44.73072753,3.906697904,9.412715517,-0.310437986,30.79934944,19.5630531,2.150030559,19.08916324,0.3990123,0.202505866,0.787653807,0.009840326
DRAXIN,0.999019,1.22,93.19414956,N,NA,56.82,1.633710409,95.49361493,-0.432404684,71.83353126,2.113306117,64.57435345,0.894983273,89.15125595,78.5619469,0.414696357,52.21399177,NA,6.64E-10,0.036425843,0.963574156
AGTRAP,0.999981,-0.12,45.12856806,N,65.93591906,90.61,0.45523197,78.50564833,-0.732465594,85.08803635,1.263927887,81.17456897,0.62490469,82.77814589,21.96349558,0.319012985,54.71604938,0.8562106,0.041663403,0.845207744,0.113128852
MTHFR,0.99996,0.09,60.71007313,N,29.91447844,28.92,-0.072879985,52.3268664,-0.788072198,87.07595394,3.027563682,36.78340517,0.138474617,60.02048069,34.52986726,0.846016895,41.84910837,0.6310705,2.46E-07,0.900732806,0.099266949
CLCN6,0.999172,-1.57,3.172918141,N,31.06480366,20.1,0.647572141,83.78560904,-0.979157309,92.52852791,3.620280311,16.73491379,-1.73626941,2.782964882,31.94690265,1.597592085,27.34156379,0.09880287,0.163974191,0.836024751,1.06E-06
NPPA,0.999861,0.86,88.62349611,N,87.87039268,79.57,0.45714267,78.55476424,1.293370638,14.98425156,2.450758333,55.64655172,0.501502967,78.2844407,83.17477876,-1.152990879,88.63100137,0.7903276,0.016931635,0.711820304,0.271248061
NPPB,0.997748,0.53,80.57914603,N,76.96338232,57.86,-0.499721056,25.32539293,0.176822881,41.0233903,-0.421001199,97.21982759,0.650526106,83.45882778,81.06747788,0.119238873,59.85733882,0.6975073,0.00038006,0.392500235,0.607119704
KIAA2013,0.823985,NA,NA,NA,NA,6.53,-0.183586405,44.30255403,0.720085856,25.34207673,2.559285811,52.19827586,-0.200628321,36.87127281,NA,NA,NA,NA,NA,NA,NA
PLOD1,0.969361,-0.66,16.09459778,N,64.18332932,69.69,-0.015334886,55.95530452,-0.19253275,58.43961378,3.093970001,34.57435345,0.619269505,82.57936269,60.56969027,0.409273493,52.31824417,0.05453915,2.70E-07,0.995480792,0.004518938
MIIP,0.989118,0.69,85.23826374,N,68.13418453,90.82,-0.519291074,24.2632613,-1.016128834,93.27722414,0.723884264,87.22521552,1.168823227,93.28956087,87.9369469,-0.584798718,78.35939643,0.8499077,1.96E-15,0.002005546,0.997994454
TNFRSF8,0.956458,0.18,66.2361406,N,47.06697181,40.79,-1.008468638,8.497053045,-1.003358685,93.03970672,0.554752549,88.85237069,-0.115036271,42.20227697,60.09955752,0.308692813,54.92455418,0.08109484,0.845965387,0.154029813,4.80E-06
