GENE	ALL_0.01%	%ALL_0.01%	ALL_0.1%	%ALL_0.1%	ALL_1%	%ALL_1%	PP2_ALL_0.1%	%PP2_ALL_0.1%	EA_0.1%	%EA_0.1%	EA_1%	%EA_1%	AA_0.1%	%AA_0.1%	AA_1%	%AA_1%	OEratioPercentile	EdgeCase
AAMDC	0.29	75.38	0.28	71.08	0.06	53.47	0.65	87.94	0.19	66.52	0.42	79.89	0.27	69.07	0.24	72.41	#N/A	Y
AAMP	-0.43	24.45	0.04	57.15	-0.25	34	-0.3	27.45	-0.41	27.28	-0.49	22.26	0.19	64.07	0.41	78.67	68.15827511	N
AANAT	-0.09	50.47	-0.07	48.54	0.13	58.68	-0.09	41.5	-0.28	35.31	-0.41	27.43	-0.33	29.47	-0.31	32.45	36.85256565	N
AAR2	-0.65	14.67	-0.31	32.06	-0.27	32.9	0.01	50.06	-0.5	22.59	-0.79	10.81	-0.4	26.25	-0.42	25.91	19.80847988	N
AARS	-0.86	9.06	-0.66	16.12	-2.01	2.23	-0.02	47.2	-0.84	11.74	-0.66	14.12	-1.05	8.45	-0.86	9.77	38.73163093	N
AARS2	1.26	93.57	1.14	92.37	0.91	89.39	0.62	87.2	-0.45	25.1	-0.17	43.77	0.6	82.38	1.32	93.88	80.83594315	N
AARSD1	0	59.55	-0.07	48.78	0.55	80.05	0.4	79.35	-0.85	11.7	-0.24	38.63	0.12	60.02	0.28	73.84	77.54155625	N
AASDH	2.03	97.29	1.05	91.37	0.31	69.59	-0.6	14.43	2.15	97.82	2.73	98.69	0.37	73.6	0.4	78.03	40.01445435	N
AASDHPPT	-0.23	38.75	-0.38	27.42	-0.41	25.87	-0.06	44.03	-0.46	24.98	-0.28	36.38	-0.17	38.94	-0.12	48.49	60.14213443	Y
AASS	-1.2	4.56	-0.91	10.12	-0.93	10.6	-0.63	13.79	-0.41	26.82	-1.21	4.33	-0.85	11.79	-0.64	15.79	44.63984582	N
AATF	-0.14	46	-0.29	33.47	0.15	59.78	-0.05	44.71	-0.44	25.8	-0.74	11.96	-0.05	46.93	-0.38	27.9	84.28089617	N
ABAT	-0.42	24.76	-0.33	30.74	-1.38	5.42	-0.48	18.87	-0.54	21.24	-0.28	35.15	-0.32	29.71	-0.07	51.29	14.38207661	N
ABCA1	-0.69	13.28	-0.24	36.29	-0.93	10.59	-2.32	1.01	-0.26	35.6	0.15	68.83	-1.92	2.35	-0.47	22.73	20.6636955	N
ABCA10	1.54	95.29	1.04	91.15	1.27	94.03	0.56	85.39	0.24	68.76	0.65	85.41	2.2	98.42	0.93	89.76	80.10118044	N
ABCA12	-0.79	10.6	-0.3	32.27	-1.51	4.39	-1.19	5.17	-0.89	10.65	-1.55	2.09	-0.88	10.98	-1.75	2.03	40.00240906	N
ABCA13	8.93	99.91	4.73	99.79	6	99.88	1.47	97.4	7.63	99.9	2.37	98.12	5.64	99.89	7.16	99.89	88.07516261	N
ABCA2	-2.85	0.4	-4.24	0.12	-5.29	0.09	-2.73	0.55	-3.41	0.26	-2.52	0.51	-4.18	0.21	-2.79	0.53	9.636232233	N
ABCA3	-3.65	0.16	-1.48	3.71	-1.43	4.94	-1.16	5.46	-1.48	3.62	-3.56	0.15	-1.4	4.71	-2.98	0.39	44.91086485	N
ABCA4	-1.62	2.09	0.74	86.31	0.69	84.39	-0.04	45.95	2.19	97.93	-0.89	7.93	-1.34	5.25	-1.47	3.15	65.50228861	N
ABCA5	0.29	74.92	0.77	86.96	-0.22	35.29	-0.32	26.09	0.06	58.86	0.25	72.85	0.33	71.96	-0.17	43.49	68.09202602	N
ABCA6	-0.04	55.56	0.26	70.44	2.48	98.9	-0.13	38.52	-0.78	13.06	1.01	91.15	1.05	91.56	-0.27	34.58	84.16044327	N
ABCA7	0.72	86.91	-2.15	1.46	0.87	88.69	-3.09	0.38	-2.26	1.19	0.23	71.92	-0.41	25.09	-0.58	17.86	82.73909901	N
ABCA8	-0.92	7.73	0.91	89.47	2.76	99.16	0.96	93.57	0.52	80.14	-0.47	22.3	1.22	93.35	0.91	89.51	85.96121417	N
ABCA9	0.37	78.17	0	53.73	-0.28	32.37	-1.3	4.38	1.6	95.7	-0.74	11.39	-1.01	8.9	-0.18	41.78	73.52445194	N
ABCB1	-0.01	58.69	0.1	60.76	-0.04	46.49	-1.74	2.19	-0.21	39.06	-0.21	40.01	0.42	75.88	-0.09	49.57	28.13177548	N
ABCB10	-0.29	33.48	-0.13	43.91	0	49.88	-0.33	25.93	-0.47	24.26	0.29	74.69	-0.08	44.23	-0.31	32.45	71.66345459	N
ABCB11	-1.17	4.74	-1.14	6.39	-1.45	4.85	-1.55	2.93	-1.42	4.03	-0.79	10.34	-0.03	48.75	-1.08	6.33	34.02794507	N
ABCB4	-0.36	29.2	-0.55	20.02	-0.61	18.3	-0.52	17.34	-0.17	42.16	-0.24	38.28	-0.77	13.21	-0.55	19.06	81.2033245	N
ABCB5	3.27	99.3	4.18	99.7	3.83	99.65	3.05	99.53	3.1	99.22	2.67	98.57	5.4	99.87	3.07	99.06	75.06022645	N
ABCB6	-0.66	14.2	-0.37	28.26	-0.14	40.51	0.19	66.11	0.8	87.36	-0.87	8.5	0.07	55.88	-0.77	11.99	47.91014213	N
ABCB7	0.45	80.65	0.86	88.69	0.35	71.6	0.35	76.89	0.96	90.07	0.19	71.2	1.27	93.83	0.32	75.45	28.62563238	N
ABCB8	1.09	91.94	0.3	71.64	0.58	80.92	-0.54	16.67	0.67	84.01	1.16	92.72	0.12	59.33	0.42	78.73	53.05950373	N
ABCB9	-0.91	7.95	-1.82	2.16	-0.57	19.52	-1.34	4.07	-1.68	2.7	-0.77	11.03	-1.28	5.73	-1.15	5.69	72.44639846	N
ABCC1	-2.09	1.05	-0.84	11.29	-0.68	16.12	-0.88	8.63	-1.5	3.45	-1.51	2.23	-1.01	8.9	-1.72	2.14	24.91568297	N
ABCC10	-1.93	1.32	-1.71	2.51	0.09	55.57	-2.32	1.01	-0.47	24.01	-1.87	1.24	-2.4	1.31	-2.3	0.96	69.34473621	N
ABCC11	1.63	95.81	1.62	96.04	1.1	92.27	1.73	98.25	1.51	95.18	1.61	95.73	1.62	96.2	2	97.11	54.61334618	N
ABCC12	2.6	98.6	1.11	92.07	0.93	89.66	-0.41	21.54	-1.07	7.55	-0.47	22.27	2.1	98.11	2.92	98.96	64.99036377	N
ABCC2	0.6	84.33	0.96	90.09	0.65	83.17	-1.21	5.05	-0.35	30.28	0.04	62.76	0.82	87.67	-0.04	54.11	77.43314864	N
ABCC3	-0.4	26.4	0.69	85.21	1.18	93.21	0.61	86.81	-1.13	6.8	-2.33	0.64	0.52	79.9	-0.84	10.32	83.52204288	N
ABCC4	-0.42	24.8	0.21	67.72	-0.48	22.66	-1.63	2.61	0.16	64.83	0.31	75.28	-0.84	11.85	-1.06	6.52	39.8879788	N
ABCC5	-1.58	2.25	-1.97	1.82	-1.88	2.65	-1.35	4.02	-1.74	2.46	-1.57	2.07	-2.09	1.97	-1.51	2.98	12.46687545	N
ABCC6	0.64	85.37	0.63	83.54	-1.71	3.29	-1.07	6.19	-1.23	5.72	0.78	87.77	-0.33	29.21	0.31	74.77	58.5642014	N
ABCC8	-1.62	2.07	-2.09	1.57	-2.55	1.13	-2.08	1.36	-1.67	2.71	-1.19	4.35	-2.73	0.87	-1.72	2.14	17.07419899	N
ABCC9	-1.58	2.25	-1.97	1.82	-2.31	1.52	-1.64	2.56	-1.02	8.38	-1.06	5.7	-1.8	2.74	-1.09	6.14	23.24741026	N
ABCD1	-0.49	21.37	-0.54	20.54	-0.55	20.08	-0.37	23.93	0.17	65.36	-0.36	30.17	-0.96	9.8	-0.78	11.79	16.42977596	N
ABCD2	-0.11	49.14	-0.09	46.92	-0.05	45.91	0.18	64.93	-0.03	52.33	0.04	63.43	-0.24	35	-0.25	36.93	46.07323536	N
ABCD3	-0.56	17.89	-0.65	16.44	-1.34	5.66	-0.45	20	-0.38	29.05	-0.47	23.43	-0.97	9.55	-0.63	16.36	10.15417972	N
ABCD4	1.28	93.66	0.8	87.72	0.23	64.97	-0.05	44.76	0.58	81.84	0.53	82.71	-0.12	42.25	1.03	91.17	51.24668755	N
ABCE1	-0.15	45.9	-0.25	35.42	-0.6	18.36	0.04	52.37	-0.29	34.57	-0.17	45.6	-0.27	33.32	-0.18	43.38	1.102144062	Y
ABCF1	-0.35	29.49	-0.22	37.54	2.17	98.4	-0.4	22.41	-0.55	21.03	-0.57	18.09	0.08	56.58	0.64	84.68	44.20019272	N
ABCF2	-0.35	29.49	-0.47	23.51	-0.89	11.53	-0.4	22.41	-0.88	10.89	-0.79	10.81	-0.9	10.83	-0.13	46.29	18.22452421	N
ABCF3	-0.44	23.81	-0.77	13.15	-0.84	12.37	-0.71	11.8	-0.76	13.58	-0.13	47.81	-0.44	24.14	-0.85	9.9	43.21850157	N
ABCG1	-1.04	6.27	-1.37	4.43	-1.8	2.92	-1	7.05	-0.8	12.7	-0.98	6.89	-1.33	5.32	-1.18	5.32	5.625150566	N
ABCG2	-0.08	51.54	-0.2	39.17	-0.12	41.35	-0.27	28.9	0.71	85.29	0.08	65.84	-0.32	29.71	-0.07	51.29	62.14165261	N
ABCG4	0.16	69.58	-0.07	48.69	-0.6	18.49	-0.28	28.77	0.04	57.38	-0.68	14.01	0.21	65.23	0.11	65.89	10.19031559	N
ABCG5	0.35	77.65	1.16	92.65	0.68	84.04	0.43	80.39	1.65	95.99	-0.05	55.6	0.12	59.33	0.42	78.73	84.10021682	N
ABCG8	0.75	87.45	0.74	86.38	0.19	62.51	-0.65	13.05	0.64	83.51	0.38	77.68	0.3	70.18	1.83	96.5	56.43820766	N
ABHD1	0.39	78.76	-0.11	45.49	-0.11	42.46	-0.5	18.34	-0.22	38.03	-0.32	32.03	-0.03	48.91	0.34	76.13	65.35172248	N
ABHD10	0.02	61.18	0.6	82.66	0.45	76.14	0.62	87.18	0.58	82.08	0.19	71.2	0.24	67.53	-0.09	49.52	59.76270778	N
ABHD11	0.01	59.92	-0.4	26.53	-0.75	14.34	-0.27	29.64	-0.52	21.96	-0.32	33.13	-0.59	18.91	-0.15	44.42	33.86533365	N
ABHD12	-0.15	45.05	-0.16	42.06	-0.32	30.21	-0.16	36.54	-0.1	47.36	0	59.84	-0.18	38.03	0.02	59.28	50.96362322	N
ABHD12B	1.23	93.32	1.04	91.26	1.39	95.23	0.58	86.22	1.55	95.43	1.67	96.02	0.9	89.16	0.85	88.78	87.85834739	N
ABHD13	-0.19	42.14	-0.32	31.46	0.15	59.55	-0.01	48.28	-0.29	34.57	-0.17	45.6	-0.02	49.61	-0.18	43.38	40.71308119	Y
ABHD14A	0.8	88.48	0.77	87.06	0.33	70.63	1.14	95.39	1.4	94.62	0.76	87.73	0.41	75.34	0.08	63.86	42.45362563	N
ABHD14B	0.25	73.63	0.22	67.92	0.23	64.77	0.6	86.55	0.12	62.86	-0.15	47.68	0.51	79.71	0.24	72.41	87.3403999	Y
ABHD15	0.22	72.1	-0.25	36.07	0.14	59.16	-0.23	31.93	0.56	81.29	0.46	80.95	-0.04	47.78	0.11	65.89	97.27174175	N
ABHD16A	-0.52	19.77	-0.34	30.56	1.69	96.96	-0.11	40	-0.17	42.53	-0.57	18.09	0	50.86	-0.09	49.52	37.18983377	N
ABHD17B	-0.2	40.89	-0.34	30.07	-0.33	29.65	-0.03	46.77	-0.36	30.26	-0.21	41.76	-0.02	49.61	-0.18	43.38	3.691881474	Y
ABHD2	-0.48	22.15	-0.03	51.92	-0.81	13.08	-0.35	24.69	-0.56	20.63	-0.34	31.62	-0.28	32.19	-0.66	15.3	29.01108167	N
ABHD3	-0.43	24.45	-0.2	38.82	0.19	62.35	-0.01	48.61	-0.28	35.31	-0.41	27.43	0.34	72.44	-0.42	25.91	45.50710672	N
ABHD4	-0.62	15.69	-0.98	8.75	-0.19	37.34	-0.52	17.53	-1.06	7.87	-0.66	14.79	-0.15	40.41	-0.42	25.91	27.7884847	N
ABHD5	-0.56	17.89	-0.42	25.56	-0.9	11.21	-0.18	35.31	-0.41	27.28	0.04	63.43	-0.28	32.19	-0.28	34.54	22.53673814	N
ABHD6	-0.31	33.12	-0.49	22.09	0.26	66.7	-0.15	37.38	-0.42	26.73	-0.26	38.17	-0.26	34.03	-0.33	31.71	88.25584197	N
ABHD8	-0.01	58.66	-0.2	38.82	-0.35	28.77	0.28	73	0.23	68.74	0.21	71.91	-0.1	43.86	-0.15	44.42	36.6056372	N
ABI1	-0.35	30.1	-0.32	31.69	-0.59	18.89	0.09	57.11	-0.18	42.09	-0.34	31.62	-0.07	46.14	-0.21	40.71	36.05155384	N
ABI2	-0.22	39.8	-0.36	28.63	-0.22	35.28	-0.05	45.37	-0.29	34.57	-0.17	45.6	-0.45	23.52	-0.3	33.66	6.3900265	Y
ABI3	-0.07	53.25	-0.03	51.92	0.21	63.98	0.52	83.97	0.41	76.62	0.08	66.58	-0.25	34.57	0.29	74.24	68.44133944	N
ABI3BP	-0.36	29.2	0.45	78.05	0.27	66.89	-0.5	17.86	0.09	60.17	-1.08	5.46	0.76	86.5	0.35	76.59	77.44519393	N
ABL1	-1.56	2.34	-1.63	2.85	-2.38	1.39	-1.51	3.04	-1.45	3.79	-1.34	3.21	-1.99	2.15	-1.85	1.75	22.7053722	N
ABL2	-0.6	16.25	-0.99	8.6	-1.87	2.67	-0.3	27.05	-0.14	44.56	-0.21	40.15	-0.96	9.86	-0.8	11.22	25.77089858	N
ABLIM1	-0.27	35.3	-0.24	36.28	0.51	78.46	-0.2	33.26	-0.69	15.36	-1.15	4.98	0.19	64.19	0.39	78	24.42784871	N
ABLIM2	-1.11	5.45	-1.51	3.54	-0.4	26.47	-1.1	5.96	-1.42	4.12	-1.13	5.16	-1	9.23	-0.96	8.05	27.27053722	N
ABLIM3	-0.8	10.41	-1.15	6.29	0.34	70.75	-0.91	8.28	0.03	56.62	-0.64	15.03	-1.41	4.65	-1	7.29	47.91616478	N
ABR	-0.28	34.15	-1.04	7.8	-2.14	1.86	-0.81	9.94	-0.76	13.58	0.4	78.42	-1.08	7.91	-0.79	11.45	2.981209347	N
ABRA	-0.18	42.6	-0.2	38.98	0.04	52.15	0.09	57.32	-0.3	33.48	-0.13	48.29	-0.34	29.12	-0.15	44.42	23.87376536	N
ABRACL	0.04	62.93	0.04	56.25	0.21	63.7	0.25	71.16	0.08	60.11	0.06	65.58	0.06	55.51	0.04	61.25	23.48229342	Y
ABT1	-0.31	33.12	-0.27	34.32	0.26	66.7	0.12	60.24	-0.01	54.49	-0.24	39.98	0	50.86	-0.09	49.52	21.08528066	N
ABTB1	-1.08	5.79	-0.95	9.27	-0.32	30.29	-0.47	19.01	-0.69	15.36	-1.15	4.98	-1.37	4.91	-1.21	5.09	50.41556252	N
ABTB2	-0.36	29.2	-1.01	8.17	-2.06	2.08	-1.65	2.46	-1.29	5.09	-0.47	22.39	-1.13	7.24	-0.69	14.33	16.60443267	N
ACAA1	0.66	85.85	0.06	58.85	0.22	64.53	-0.18	35.31	0.49	79.33	0.95	90.55	0.69	85	0.26	73.05	59.8590701	N
ACAA2	-0.27	35.57	-0.58	18.72	0.23	64.92	-0.29	27.7	0.31	72.39	0.02	61.88	-0.37	27.38	-0.87	9.64	48.16309323	N
ACACA	-1.51	2.56	-1.61	2.96	-2.26	1.63	-1.55	2.88	-2.3	1.14	-1.44	2.66	-1.31	5.45	-1.48	3.14	8.353408817	N
ACACB	-2.04	1.11	-1.97	1.78	-1.82	2.84	-3.52	0.21	-1.16	6.52	-0.32	31.63	-2.35	1.41	-2.94	0.42	60.35894965	N
ACAD10	0.64	85.47	-0.54	20.05	1.36	94.95	0.19	65.66	-1.45	3.79	-1.34	3.21	-0.44	24.07	0.8	88.02	72.16935678	N
ACAD11	0.06	64.08	0.6	82.9	0.56	80.33	1.72	98.18	1.37	94.27	0.02	61.31	0.41	75.42	0.06	62.49	54.66754999	N
ACAD8	-0.14	46.38	-0.38	27.88	-0.43	25.17	-0.14	37.72	-0.51	22.35	-0.02	57.92	-0.15	40.41	-0.42	25.91	65.27342809	N
ACAD9	-0.18	42.26	-0.84	11.36	-0.55	20.15	-0.68	12.43	-0.49	22.74	0.04	62.98	-0.4	25.82	-1.06	6.66	38.04504939	N
ACADL	0.29	75.08	-0.36	29.16	0.2	62.9	-0.13	38.79	-0.2	40.2	0.46	80.95	0.09	57.81	-0.03	54.84	80.63719586	N
ACADM	-0.46	22.89	-0.25	35.99	-0.18	37.81	-0.33	25.66	0.48	79.08	-0.41	27.43	-0.82	12.34	-0.69	14.27	53.55336064	N
ACADS	0.07	65.04	-0.2	39.11	-0.12	41.9	0.2	66.47	0.11	61.7	0.42	79.46	-0.45	23.63	-0.32	32.05	15.86966996	N
ACADSB	0.28	74.55	-0.4	26.73	0.3	69.08	-0.45	20	-0.27	35.59	0.42	79.46	0.2	64.53	0.26	73.05	56.39604914	N
ACADVL	0.16	69.46	0.03	55.79	-0.61	18.26	-0.47	19.01	-0.74	14.35	-0.93	7.59	0.06	54.72	0.54	82.37	49.11467116	N
ACAN	3.61	99.46	1.28	93.77	1.17	93.03	3.94	99.76	1.69	96.18	2.16	97.51	0.55	80.99	4.22	99.63	64.07492171	N
ACAP1	-0.11	48.84	0	54.03	0.52	78.74	0.27	71.91	-0.09	47.56	0.29	74.69	0.83	88	-0.44	24.54	53.63165502	N
ACAP2	-0.54	19.15	-0.6	17.91	-0.97	9.96	-0.42	21.53	-0.41	27.28	0.04	63.43	-0.68	15.98	-0.6	17.35	19.50734763	N
ACAP3	-1.01	6.61	-0.35	29.49	-0.99	9.65	-0.1	40.33	-0.42	26.02	-0.98	6.89	-1.03	8.67	-0.76	12.16	23.34377258	N
ACAT1	-0.33	31.07	-0.54	20.26	-0.11	42.29	-0.18	35	-0.49	23.35	-0.3	34.73	-0.6	18.44	-0.39	27.64	42.33317273	N
ACAT2	0.04	62.41	-0.36	28.93	0.2	63.38	0.06	54.31	-0.25	37.42	0.15	69.59	-0.26	34.03	0.06	62.42	32.93182366	N
ACBD3	0.05	63.48	0.15	64.51	0.1	56.51	0.36	77.71	0.33	73.49	0.27	74.39	-0.43	24.51	-0.22	39.22	45.97687304	N
ACBD4	-0.07	53.25	0.46	78.59	0.65	83.13	0.81	91.33	-0.48	24	0	59.84	1.95	97.67	0.44	79.63	71.12743917	N
ACBD5	-0.24	37.97	-0.56	19.73	-0.27	32.9	-0.28	28.77	-0.23	37.79	-0.09	52.13	-0.72	14.97	-0.4	26.66	43.80872079	N
ACBD6	-0.26	36.41	-0.43	25.15	-0.2	36.75	-0.1	41.12	-0.32	32.45	-0.19	43.65	-0.16	39.78	-0.27	35.97	60.33485907	Y
ACBD7	-0.05	55.48	0.15	64.11	-0.03	47.43	0.15	62.8	0.26	69.87	-0.07	55.41	0.01	52.23	0.01	58.77	56.11900747	Y
ACCS	0.33	76.57	0.29	71.57	0.02	51.01	-0.27	28.9	0.62	83.13	0.51	82.39	-0.49	22.34	0.66	85.28	77.45121657	N
ACCSL	-0.05	54.21	-0.15	42.23	0.39	73.4	-0.53	17.15	0.25	69.27	-0.26	36.81	-0.6	18.1	-0.25	36.37	54.15562515	N
ACD	-0.44	24.01	-0.6	18.14	0.04	52.2	-0.21	33.18	-0.02	52.61	-0.19	42.29	-1.04	8.58	-0.22	38.61	68.17634305	N
ACE	-1	6.63	-0.57	18.91	0.37	72.38	-0.47	18.87	-2.27	1.18	-2.33	0.64	-0.87	11.26	-0.49	21.32	50.13852084	N
ACE2	-0.11	49.14	0.89	89.14	0.82	87.51	0.18	64.93	0.48	79.08	0.12	68.73	0.45	77.28	-0.28	34.54	81.2695736	N
ACER1	-0.07	53.25	-0.03	51.92	-0.37	27.94	-0.06	44.44	0.69	84.94	0.02	61.88	-0.25	34.57	-0.09	49.52	39.29173693	N
ACER2	0.06	64.52	0.17	65.76	-0.3	31.49	-0.2	33.83	-0.18	42.09	0.19	71.2	0.09	57.81	0.35	76.56	49.65670923	N
ACER3	0.31	75.87	0.06	58.26	-0.05	46.23	0.09	56.76	0.16	64.82	0.4	79.08	-0.07	46.14	0.18	69.93	5.733558179	Y
ACHE	-0.38	27.54	-0.6	18.14	-0.38	27.21	-0.73	11.38	-0.54	21.24	-0.28	35.15	-1.01	9.06	-0.81	11.04	9.28089617	N
ACIN1	0.52	82.61	-0.44	24.71	-0.01	48.84	-0.14	37.41	0.12	62.07	0.53	82.62	-0.42	24.9	0	57.45	74.87352445	N
ACKR2	0.19	70.88	0.46	78.69	0.93	89.76	0.91	92.99	0.46	78.11	0.4	78.67	0.25	68	0.91	89.59	81.8296796	N
ACKR3	-0.18	42.6	0.04	57.31	0.04	52.15	-0.48	18.72	-0.34	31.36	-0.68	14.01	-0.19	37.79	-0.22	39.22	22.71741749	N
ACKR4	-0.28	35.17	0.53	80.73	0.49	77.28	-0.11	39.74	0.3	72	-0.28	36.38	0.24	67.53	0.29	74.24	59.94940978	N
ACLY	-0.71	12.46	-0.77	13.1	-1.02	9.21	-0.81	9.94	0.05	58.25	-0.38	27.76	-1.56	3.81	-0.56	18.71	24.15682968	N
ACMSD	-0.41	26.34	-0.4	26.53	-0.31	30.62	-0.27	29.64	-0.66	16.92	-0.41	27.43	-0.26	34.03	-0.33	31.71	47.68128162	N
ACN9	0.32	76.46	0.3	72.01	-0.01	49.09	0.37	78.18	0.29	71.41	0.48	81.98	0.32	71.39	0.27	73.56	20.7178993	Y
ACO1	-0.91	7.95	-1.08	7.24	-0.86	12.01	-0.76	10.82	-0.89	10.43	-1.27	3.8	-1.65	3.34	-0.62	16.5	61.7923392	N
ACO2	-0.95	7.41	-1	8.47	-1.85	2.77	-0.32	26.08	-0.6	18.69	-0.85	9.21	-1.04	8.58	-0.99	7.52	16.35750422	N
ACOT11	1.73	96.23	0.72	85.86	-0.38	27.26	0.38	78.43	1.67	96.1	1.61	95.63	0.34	72.08	0.47	80.26	87.55119248	N
ACOT12	-0.01	58.28	0.16	64.82	-0.5	21.92	0.1	57.44	0.22	67.66	0.25	73.1	0.12	60.02	0.28	73.84	62.23801494	N
ACOT13	-0.09	51.36	0.33	73.11	0.43	75	0.39	78.9	0.16	64.82	-0.13	49.82	0.41	75.68	0.33	75.84	99.11467116	Y
ACOT4	0.39	78.96	0.28	71.41	0.04	52.61	0.28	73	0.28	70.75	0.53	82.91	0.34	72.44	-0.03	54.84	77.42712599	N
ACOT6	0.72	86.98	0.55	81.22	0.39	73.25	0.09	56.76	0.53	80.7	0.4	79.08	0.61	82.73	0.69	85.81	31.22741508	N
ACOT7	-0.62	15.69	-0.76	13.45	-1.35	5.54	-0.24	30.91	-0.68	16.14	-0.66	14.79	-0.59	18.91	-0.54	19.74	14.46037099	N
ACOT8	-0.71	12.76	0.11	62	0.29	68.63	-0.04	45.95	0.32	72.59	-0.74	11.96	1.04	91.42	-0.22	39.22	52.96916406	N
ACOT9	0.08	65.39	0.44	77.7	0.47	76.75	0.97	93.8	0.2	67.14	0.19	71.2	0.53	80.2	0.09	64.59	62.55119248	N
ACOX1	-0.03	57.02	0.13	63.57	0.33	70.37	0.08	56.06	0.19	66.02	0.23	72.22	0.13	60.61	0.9	89.5	43.32690918	N
ACOX2	-1.15	4.99	-0.57	18.96	0.79	86.88	-0.27	28.97	-1.01	8.49	-0.87	8.82	-0.48	22.71	-1.03	6.9	72.5849193	N
ACOX3	-1.33	3.56	-0.79	12.63	-1.16	7.48	-1.24	4.75	-0.09	47.42	-0.96	7.06	-1.64	3.42	-1.56	2.74	49.13876174	N
ACOXL	1.23	93.26	1.87	97.2	1.82	97.52	2.12	98.86	1.84	96.83	1.37	94.48	0.88	88.88	0.36	77.08	65.33967719	N
ACP1	0.53	82.97	0.26	70.26	0.01	50.37	0.16	63.19	0.47	78.73	0.89	89.79	-0.05	47.38	0.65	84.92	42.10431221	N
ACP2	-0.15	45.05	0.09	60.47	-0.03	47.64	-0.16	36.54	0.59	82.27	-0.05	56.02	-0.34	29.12	-0.15	44.42	66.21296073	N
ACP5	0.53	82.77	0.35	74.58	0.59	81.19	-0.04	45.95	0.46	78.11	0.4	78.67	-0.17	39.07	0.25	72.65	44.96506866	N
ACP6	0.7	86.66	0.86	88.74	0.78	86.57	0.74	90.01	0.59	82.27	0.48	81.73	0.9	89.16	0.08	63.86	80.89014695	N
ACPL2	-0.71	12.76	-0.38	28.01	-0.58	19.25	-0.33	25.93	-0.75	14.17	-0.7	13.17	-0.03	48.91	-0.04	54.08	53.42086244	N
ACPP	-0.52	19.77	-0.6	17.91	-0.34	29.05	-0.42	21.53	-0.89	10.64	-0.55	18.99	-0.44	24.06	-0.06	52.06	32.47410263	N
ACPT	0.89	89.56	-0.22	37.54	-0.01	48.78	-0.4	22.41	0.36	74.1	1.4	94.61	0.08	56.58	0.25	72.65	40.46013009	N
