chromosome	OFFSPRING GENDER	ref allele major	offspring genotype	offspring coverage	mom genotype	mom coverage	dad genotype	dad coverage	FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-VAR	<10	HOM-VAR	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-VAR	<10	HOM-REF	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-REF	<10	HET	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-REF	<10	HOM-VAR	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-REF	<10	HOM-REF	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HET	<10	HET	>=10	NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HET	<10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HET	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-VAR	<10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-VAR	<10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-VAR	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-REF	<10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-REF	<10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-REF	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HET	<10	HET	>=10	"NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HET	<10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HET	<10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-VAR	<10	HET	>=10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-VAR	<10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-VAR	<10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-REF	<10	HET	>=10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-REF	<10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-REF	<10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HET	>=10	HET	>=10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HET	>=10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HET	>=10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HOM-VAR	>=10	HET	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HOM-VAR	>=10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HOM-VAR	>=10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HOM-REF	>=10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HOM-REF	>=10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HOM-REF	>=10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HET	>=10	HET	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HET	>=10	HOM-VAR	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HET	>=10	HOM-REF	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HOM-VAR	>=10	HET	<10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HOM-VAR	>=10	HOM-VAR	<10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HOM-VAR	>=10	HOM-REF	<10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HOM-REF	>=10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HOM-REF	>=10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HOM-REF	>=10	HOM-REF	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HET	>=10	HET	>=10	NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HET	>=10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HET	>=10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-VAR	>=10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-VAR	>=10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-VAR	>=10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-REF	>=10	HET	>=10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-REF	>=10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-REF	>=10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HET	>=10	HET	<10	NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HET	>=10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HET	>=10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-VAR	>=10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-VAR	>=10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-VAR	>=10	HOM-REF	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-REF	>=10	HET	<10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-REF	>=10	HOM-VAR	<10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-REF	>=10	HOM-REF	<10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	ANY	<10	ANY	<10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	ANY	<10	ANY	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HET	<10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HET	<10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HET	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HOM-VAR	<10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HOM-VAR	<10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HOM-VAR	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HOM-REF	<10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HOM-REF	<10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HOM-REF	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HET	<10	HET	>=10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HET	<10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HET	<10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HOM-VAR	<10	HET	>=10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HOM-VAR	<10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HOM-VAR	<10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HOM-REF	<10	HET	>=10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HOM-REF	<10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	<10	HOM-REF	<10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HET	>=10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HET	>=10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HET	>=10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HOM-VAR	>=10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HOM-VAR	>=10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HOM-VAR	>=10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HOM-REF	>=10	HET	>=10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HOM-REF	>=10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HOM-REF	>=10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HET	>=10	HET	<10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HET	>=10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HET	>=10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HOM-VAR	>=10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HOM-VAR	>=10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HOM-VAR	>=10	HOM-REF	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HOM-REF	>=10	HET	<10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HOM-REF	>=10	HOM-VAR	<10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	<10	HOM-REF	>=10	HOM-REF	<10	UNLIKELY NEWLY HOMOZYGOUS
X	MALE	YES	HOM-VAR	ANY	HOM-REF	>=10	ANY	ANY	DE NOVO
X	FEMALE	YES	HET	NA	HOM-REF	>=10	HOM-REF	>=10	DE NOVO
X	FEMALE	NO	HET	NA	HOM-VAR	>=10	HOM-VAR	>=10	"DE NOVO; IN REF"
X	MALE	YES	HOM-VAR	ANY	HET	>=10	ANY	ANY	NEWLY HEMIZYGOUS
X	MALE	YES	HOM-VAR	ANY	HOM-REF	<10	ANY	ANY	NEWLY HEMIZYGOUS OR POSSIBLY DE NOVO
X	MALE	YES	HOM-VAR	>=10	HOM-VAR	>=10	ANY	ANY	NO FLAG
X	MALE	YES	HOM-VAR	ANY	HET	<10	ANY	ANY	POSSIBLY NEWLY HEMIZYGOUS
X	MALE	YES	HOM-VAR	ANY	HOM-VAR	<10	ANY	ANY	UNLIKELY NEWLY HEMIZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HET	>=10	HET	>=10	NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HET	<10	HET	>=10	NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HET	>=10	HET	<10	NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HET	<10	HET	<10	NEWLY HOMOZYGOUS
X	FEMALE	NO	HOM-REF	>=10	HET	>=10	HET	>=10	"NEWLY HOMOZYGOUS; IN REF"
